20:32:40.938240,37
20:32:41.063036,60
20:32:41.175842,97
20:32:41.303990,46
20:32:41.431503,77
20:32:41.556472,68
20:32:41.680082,6
20:32:41.799887,28
20:32:41.923888,29
20:32:42.034502,21
20:32:42.145705,23
20:32:42.267951,81
20:32:42.391481,54
20:32:42.516817,32
20:32:42.627815,96
20:32:42.743696,87
20:32:42.855595,44
20:32:42.974984,8
20:32:43.100001,95
20:32:43.223983,11
20:32:43.357917,8
20:32:43.474710,99
20:32:43.586751,99
20:32:43.698053,34
20:32:43.814879,15
20:32:43.941081,33
20:32:44.060888,52
20:32:44.177521,17
20:32:44.289038,22
20:32:44.405440,42
20:32:44.521001,66
20:32:44.647246,10
20:32:44.818047,35
20:32:44.933449,35
20:32:45.045572,6
20:32:45.176046,71
20:32:45.302134,1
20:32:45.431545,46
20:32:45.558337,24
20:32:45.670588,7
20:32:45.790026,83
20:32:45.916314,37
20:32:46.050950,50
20:32:46.162785,80
20:32:46.273096,43
20:32:46.391834,27
20:32:46.502623,43
20:32:46.611408,26
20:32:46.728579,9
20:32:46.849240,77
20:32:46.983417,39
20:32:47.102621,8
20:32:47.226959,42
20:32:47.353205,22
20:32:47.480874,62
20:32:47.598535,62
20:32:47.725509,0
20:32:47.856800,10
20:32:47.975864,31
20:32:48.107653,28
20:32:48.231832,72
20:32:48.353773,99
20:32:48.480972,29
20:32:48.678954,42
20:32:48.813861,11
20:32:48.929355,98
20:32:49.064351,90
20:32:49.184320,23
20:32:49.320750,56
20:32:49.431715,3
20:32:49.580639,32
20:32:49.698759,55
20:32:49.831766,90
20:32:49.963510,61
20:32:50.082586,31
20:32:50.200153,13
20:32:50.335726,84
20:32:50.452783,10
20:32:50.582790,58
20:32:50.706960,76
20:32:50.829088,14
20:32:50.966165,69
20:32:51.093317,40
20:32:51.218378,40
20:32:51.345536,52
20:32:51.475277,33
20:32:51.589486,57
20:32:51.715602,58
20:32:51.838683,38
20:32:51.964931,53
20:32:52.109278,65
20:32:52.220035,3
20:32:52.359801,28
20:32:52.483379,34
20:32:52.607872,52
20:32:52.736199,9
20:32:52.854803,93
20:32:52.983360,34
20:32:53.170572,44
20:34:35.119817,12
20:34:35.232242,58
20:34:35.362451,55
20:34:35.473098,27
